Unnamed: 0,대륙,국가,사업명,사업형태,발주처,수행기간,사업비(억원),분야,형태,사업명(영문),경평용,단계
39,오세아니아,솔로몬제도 ,솔로몬제도 물관리 정보화 역량강화 사업 ,ODA,ADB,’22.09 ~ ’23.04,4.5,수자원,기술지원,Digitaliztion of water management for improved resilience-Solomon Islands,ODA,완료
40,아시아,스리랑카,발라체나이 홍수피해방지를 위한 배수시설 설치사업,ODA,KOICA,’06.11~ ’08.12,5.6,수자원,PMC,Construcion of Storm Water Drainage Project at Valachenai,ODA,완료
41,아시아,스리랑카,상하수도 분야평가 및 스리랑카 Galle광역시 상수도 개발사업 사후평가,ODA,EDCF,’11.04 ~ ’11.06,0.5,수도,기술지원,"Post Evaluation for Water Supply Project in Galle City, Sri Lanca",ODA,완료
42,아시아,스리랑카,수자원사업 환경영향평가,ODA,EDCF,’14.05 ~ ’14.11,0.5,수자원,기술지원,"Environmental Impact Assessment for Water Supply Project in Galle City, Sri Lanca",ODA,완료
43,중남미,아이티,크루아데부께 식수공급확장 사업,ODA,KOICA,’08.10 ~ ’09.12,12.3,수도,PMC, Project for the Extension of the Drinking Water Supply System in Croix-des Bouquets in Haiti,ODA,완료
44,아시아,아프간,이스탈리프 소수력발전소 건립사업,ODA,KOICA,’04.06 ~ ’06.09,33.7,수자원,PMC,"Construcion of Mini Hydro Power Plant in Istalif, Afganistan",ODA,완료
45,아시아,아프간,이스탈리프 소수력발전소 사후관리,ODA,KOICA,’06.12 ~ ’11.07,12.6,수자원,기술지원,"Istalif Mini Hydro Power Plant O&M, Afganistan",ODA,완료
46,아프리카,에티오피아 ,에티오피아 식수위생분야 기본계획 수립 ,ODA,KOICA,’12.12 ~ ’13.10,4.5,수도,기본계획,"BDS(Basic Design Service) for the Improvement of Water Supply & Sanitation in Gurage Zone, SNNPR State, Ethiopia",ODA,완료
47,아프리카,우간다,상하수도 개선 마스터플랜 수립 지원사업,ODA,KEITI,’19.04～’20.10,6.0,수도,MP,"Establishment of Water Supply and Sewerage Management Master Plan for Wakiso District, Uganda",ODA,완료
48,아프리카,우간다 ,우간다 기후변화 대응 물관리 역량강화 ,ODA,,,,,,,ODA,완료
49,아시아,우즈베키스탄,카파라스크 식수공급 개선사업,ODA,KOICA,’10.07 ~ ’11.05,0.3,수도,기술지원,Integrated Water Resource Management GIS Establishment,ODA,완료
50,아시아,우즈베키스탄,통합물관리 아카데미 협력사업,ODA,,,,,,,ODA,완료
51,아시아,우즈베키스탄,ICT 기반의 수자원정보화 마스터플랜 수립 및 시설기반강화 시범사업 사업수행용역(PC),ODA,KOICA, ’17.12∼’21.12,59.6,수자원,PMC,Master plan and Pilot project with ICT-based Integrated Water Resouces Management System in Uzbekistan,ODA,완료
52,아시아,우즈베키스탄,타슈켄트시 노후상수관 개선 마스터플랜 수립용역,ODA,국토교통부, ’18.07.~’19.05.,8.0,수도,MP,"Master Plan for the Rehabilitation of Worn-out Water Supply Networks in Tashkent, Uzbekistan",ODA,완료
53,아시아,우즈베키스탄,(EIPP) 첨단기술 기반 물 및 자원순환 스마트도시 마스터플랜,수주사업(K-EXIM),EIPP, ’20.11∼’21.08,38.0,도시,MP,(2020/21 EIPP) Uzbekistan The Establishment of Master plan for Smart Water City and Resource Circulation in Angren city,수주사업(K-EXIM),완료
54,아시아,우즈베키스탄,우즈베키스탄 서우즈벡 상수도 개발 사업 PMC 용역 ,ODA,ADB,'20.08~'24.11,34.0,수도,PMC,Western Uzbekistan Water Supply System Development Project,ODA,진행
55,아시아,우즈베키스탄,(ADB) 상수도 역량강화 TA사업 ,ODA,,,,,,,ODA,진행
56,아시아,우즈베키스탄,(신규)우즈벡 역량 강화 및 물 아카데미 컨설팅 ,ODA,,,,,,,ODA,진행
57,아시아,우즈베키스탄,(대행) 타슈켄트시 노후상수관 개선 시범사업 ,ODA,환경부,21.01~'22.12,30.0,수도,대행,"Pilot Project for the Rehabilitation of Worn-out Water Supply Networks in Tashkent, Uzbekistan",ODA,완료
58,아시아,우즈베키스탄,(물시장) 코드지켄트 양수발전사업 예비타당성조사(Pre F/S),수주사업(환경부),,,,,,,수주사업(환경부),완료
59,아시아,이라크,아르빌 상하수도 현대화 시범사업,ODA,KOICA,’05.10 ~ ’07.04,67.9,수도,PMC,"The Rehabilitation of the Water Supply and Sewerage System in Erbil, Iraq",ODA,완료
60,아시아,이라크,아르빌 베칼 소수력발전소 건설사업 설계․시공감리,ODA,KOICA,’07.06 ~ ’09.10,12.9,수자원,PMC,"Mini Hydro Power Plant & Water Resources Development Project in Erbil, Iraq",ODA,완료
61,아시아,이라크,아르빌 침사지 설치사업 PMC,ODA,KOICA,’09.11 ~ ’11.10,8.1,수도,PMC,"Detailed Design for the Project for the Construction of Grit Chamber in Erbil, Iraq",ODA,완료
62,아시아,이라크,베칼 소수력발전소 건립사업 사후관리용역,ODA,KOICA,’11.09 ~ ’14.05,4.8,수자원,기술지원,"Erbil Mini Hydro Power Plant O&M, Iraq",ODA,완료
63,아시아,인도 ,인도 나가랜드주 리킴로 수력발전소 운영관리 기술지원사업 , 현지재정(NEC사),NEC사, ’06.03∼’16.04,10.5,수자원,기술지원,Technical Assistance for O&M of Likimro Hydro Power Plant, 현지재정(NEC사),완료
64,아시아,인도네시아,까리안 다목적댐 건설 타당성조사 및 실시설계,ODA,KOICA,’04.10 ~ ’06.09,18.0,수자원,"F/S, 실시설계",Feasubility Study and Detailed Design for Karian Multi-purpose Dam ,ODA,완료
65,아시아,인도네시아,까리안댐-세르퐁간 MP수립 및 실시설계 기술자문,ODA,KOICA,’10.02 ~ ’12.01,0.4,수자원,MP,Master Planning and Feasibility Study of Karian Dam ~ Serpong Water Conveyance & Supply System,ODA,완료
66,아시아,인도네시아,반둥지역 상수도시스템 구축,ODA,KOICA,’12.10 ~ ’15.05,2.6,수도,PMC,Feasibility Study and Basic Engineering Design for Water Conveyance and Integrated Dam Operating System for Bandung Area,ODA,완료
67,아시아,인도네시아,수도권 해안종합개발 컨설팅 심층기획조사 용역,ODA,KOICA,’15.10 ~ '16.05,5.0,수자원,기술지원,Project for Technical Assistance for Increasing Readiness of NCICD(National Capital Integrated Coastal Development) Implementation and Investment,ODA,완료
68,아시아,인도네시아,팔렘방시 배수시설 개선 MP 및 FS PMC,ODA,KOICA,’14.02 ~ '16.08,3.0,수자원,PMC,"Improvement of drainage system in Palembang city, Indonesia",ODA,완료
69,아시아,인도네시아,인도네시아 신수도 인근 Kariangau  지역 산업단지 건설 및 운영 관련 예비타당성조사 사업,수주사업(KIND),,,,,,,수주사업(KIND),진행
70,아시아,인도네시아,스마랑시 스마트물관리 F/S 용역,ODA,EDCF, ’20.08.∼’21.04,5.6,수도,F/S,Feasibility Study of Smart Water Management in Smarang,ODA,완료
71,아시아,인도네시아,페칸바루 상수도 M/P수립,ODA,국토교통부,’14.05 ~ ’14.12,4.9,수도,MP,"Master Plan for Water Supply System in Pekanbaru, Indonesia",ODA,완료
72,아시아,인도네시아,술라웨시 수자원마스터플랜 수립,ODA,국토교통부,’15.03 ~ ’16.03,9.5,수자원,F/S,Water Resources Development  Master Plan (Strategic Study) in Sulawesi,ODA,완료
